athlete_id,paceShort,mileShort
Gene Dykes,10:02,26
Gene Dykes,10:32,23
Gene Dykes,11:14,22
Gene Dykes,9:53,21
Gene Dykes,9:53,20
Gene Dykes,10:59,19
Gene Dykes,10:28,18
Gene Dykes,10:24,17
Gene Dykes,10:12,12
Gene Dykes,8:58,11
Gene Dykes,9:13,10
Gene Dykes,9:37,9
Gene Dykes,9:26,8
Gene Dykes,9:00,7
Gene Dykes,10:08,6
Gene Dykes,9:20,5
Gene Dykes,9:07,4
Gene Dykes,9:12,3
Gene Dykes,9:14,2
Gene Dykes,9:18,1
Greg McQuaid,9:47,26
Greg McQuaid,8:38,21
Greg McQuaid,8:34,20
Greg McQuaid,8:59,19
Greg McQuaid,8:39,18
Greg McQuaid,8:57,17
Greg McQuaid,8:52,12
Greg McQuaid,8:21,11
Greg McQuaid,8:15,10
Greg McQuaid,8:32,9
Greg McQuaid,8:37,8
Greg McQuaid,8:25,7
Greg McQuaid,9:18,6
Greg McQuaid,8:56,5
Greg McQuaid,8:49,4
Greg McQuaid,8:38,3
Greg McQuaid,8:25,2
Greg McQuaid,8:40,1
Iain Mickle,10:43,26
Iain Mickle,9:10,20
Iain Mickle,9:37,19
Iain Mickle,8:57,18
Iain Mickle,8:34,17
Iain Mickle,7:40,11
Iain Mickle,7:44,10
Iain Mickle,7:52,9
Iain Mickle,7:56,8
Iain Mickle,7:53,7
Iain Mickle,8:39,6
Iain Mickle,7:52,5
Iain Mickle,7:47,4
Iain Mickle,7:52,3
Iain Mickle,7:23,2
Iain Mickle,7:29,1
Jorge Maravilla,7:50,26
Jorge Maravilla,7:49,23
Jorge Maravilla,7:44,20
Jorge Maravilla,8:04,19
Jorge Maravilla,7:45,18
Jorge Maravilla,8:14,17
Jorge Maravilla,7:25,11
Jorge Maravilla,7:38,10
Jorge Maravilla,7:46,9
Jorge Maravilla,7:38,8
Jorge Maravilla,7:48,7
Jorge Maravilla,8:26,6
Jorge Maravilla,7:50,5
Jorge Maravilla,7:35,4
Jorge Maravilla,8:05,3
Jorge Maravilla,7:59,2
Jorge Maravilla,7:50,1
Hilary Shirazi,11:39,26
Hilary Shirazi,13:15,23
Hilary Shirazi,12:26,19
Hilary Shirazi,11:20,18
Hilary Shirazi,12:00,17
Hilary Shirazi,11:31,12
Hilary Shirazi,11:05,11
Hilary Shirazi,10:51,10
Hilary Shirazi,10:11,9
Hilary Shirazi,10:45,8
Hilary Shirazi,9:58,7
Hilary Shirazi,12:54,6
Hilary Shirazi,9:55,5
Hilary Shirazi,9:55,4
Hilary Shirazi,11:36,3
Hilary Shirazi,10:12,2
Hilary Shirazi,9:54,1
Balint Gal,8:43,26
Balint Gal,8:08,21
Balint Gal,7:54,20
Balint Gal,8:17,19
Balint Gal,8:16,18
Balint Gal,8:28,17
Balint Gal,8:00,12
Balint Gal,7:27,11
Balint Gal,7:23,10
Balint Gal,7:34,9
Balint Gal,7:34,8
Balint Gal,7:35,7
Balint Gal,8:31,6
Balint Gal,7:36,5
Balint Gal,7:38,4
Balint Gal,7:49,3
Balint Gal,7:41,2
Balint Gal,7:44,1
Lauren Elkins,11:54,26
Lauren Elkins,11:37,23
Lauren Elkins,11:11,20
Lauren Elkins,11:22,19
Lauren Elkins,11:05,18
Lauren Elkins,11:37,17
Lauren Elkins,12:08,12
Lauren Elkins,11:12,11
Lauren Elkins,11:28,10
Lauren Elkins,11:11,9
Lauren Elkins,10:43,8
Lauren Elkins,10:53,7
Lauren Elkins,12:20,6
Lauren Elkins,10:53,5
Lauren Elkins,10:23,4
Lauren Elkins,10:50,3
Lauren Elkins,10:00,2
Lauren Elkins,9:48,1
