distance,elevation
0,-9
0.01,9.84
0.18,19.68
0.48,9.84
0.83,13.12
1.1,19.68
1.37,16.4
1.8,9.84
2.27,29.52
2.65,52.49
2.87,39.37
3.11,13.12
3.49,9.84
3.78,16.4
4.17,6.56
4.76,3.28
4.94,6.56
5.07,36.08
5.13,16.4
5.22,121.39
5.48,154.19
5.54,170.6
5.77,150.91
5.98,213
6.01,259
6.4,272
6.7,269
7,239
7.2,220
7.5,226
7.8,224
8,167
8.3,184
8.4,210
8.8,253
9.1,234
9.4,197
9.6,157
9.9,157
10.1,79
10.3,151
10.65,174
10.8,226
11.1,266
11.4,230
11.43,270
11.5,203
11.75,131
12,92
12.17,72
12.22,112
12.63,157.48
12.9,180.44
13.4,183
13.6,213
13.8,253
14,203
14.23,217
14.5,164
14.75,144
14.9,98
15.1,141
15.3,87
15.65,125
15.9,161
16.2,184
16.6,197
16.9,220
17.1,230
17.4,295
17.65,266
17.76,315
18,299
18.3,312
18.6,305
18.7,338
18.9,292
19.3,266
19.6,282
19.84,246
20,295
20.3,275
20.8,292
21.1,292
21.26,197
21.6,157
21.8,180
22,108
22.46,62
22.65,49.21
22.94,26.24
23.3,62
23.6,23
23.9,20
24.2,56
24.4,26
24.65,49
24.9,26
25.1,46
25.35,16.4
25.7,-9
26,-3
26.2,16.4
26.21,-9
